Wall time,Step,Value
1731863533.7267807,4000,-1192.0233154296875
1731863537.3734403,8000,-1185.179931640625
1731863541.0276499,12000,-1200.7919921875
1731863544.6766083,16000,-1183.4827880859375
1731863548.2717505,20000,-1188.5499267578125
1731863552.051752,24000,-1203.5614013671875
1731863555.5061069,28000,-1214.080322265625
1731863559.0429518,32000,-1231.71142578125
1731863562.5868592,36000,-1227.4442138671875
1731863566.0724745,40000,-1246.582275390625
1731863569.5702899,44000,-1241.1650390625
1731863573.1384382,48000,-1249.4776611328125
1731863576.6300333,52000,-1224.1259765625
1731863580.3234708,56000,-1238.645263671875
1731863583.8741271,60000,-1222.52099609375
1731863587.451841,64000,-1207.479736328125
1731863590.9934769,68000,-1195.9459228515625
1731863594.5185277,72000,-1211.83349609375
1731863598.1314807,76000,-1246.8775634765625
1731863601.614512,80000,-1258.8155517578125
1731863605.1444213,84000,-1281.015869140625
1731863608.6651888,88000,-1281.9482421875
1731863612.4597816,92000,-1283.6925048828125
1731863616.0683742,96000,-1262.5081787109375
1731863619.7411206,100000,-1267.47607421875
1731863623.4364238,104000,-1255.53564453125
1731863627.1245308,108000,-1250.463134765625
1731863630.7615914,112000,-1233.97216796875
1731863634.4859812,116000,-1205.9981689453125
1731863638.162666,120000,-1200.0755615234375
1731863641.8426154,124000,-1189.8839111328125
1731863645.3553543,128000,-1172.5511474609375
1731863648.8544652,132000,-1167.72705078125
1731863652.361209,136000,-1150.550537109375
1731863655.932669,140000,-1099.240966796875
1731863659.4798257,144000,-1094.92138671875
1731863663.0061736,148000,-1104.1668701171875
1731863666.7502215,152000,-1083.364013671875
1731863670.4049149,156000,-1105.0972900390625
1731863673.933321,160000,-1119.8839111328125
1731863677.5504477,164000,-1108.645751953125
1731863681.0420883,168000,-1077.0299072265625
1731863684.5075884,172000,-1087.021728515625
1731863688.1146297,176000,-1068.61572265625
1731863691.60552,180000,-1050.3428955078125
1731863695.2454867,184000,-1032.25390625
1731863699.0386052,188000,-1016.9539794921875
1731863702.803998,192000,-978.97314453125
1731863706.4466622,196000,-944.1083984375
1731863710.1012475,200000,-924.4444580078125
1731863713.8380065,204000,-903.4271850585938
1731863717.4858158,208000,-894.6076049804688
1731863721.0121195,212000,-875.32666015625
1731863724.5914218,216000,-864.15771484375
1731863728.0908234,220000,-844.35888671875
1731863731.7598698,224000,-811.4817504882812
1731863735.3057406,228000,-784.0971069335938
1731863738.940662,232000,-774.2478637695312
1731863742.6145854,236000,-751.8417358398438
1731863746.3389673,240000,-730.5061645507812
1731863749.9795048,244000,-706.4021606445312
1731863753.5225341,248000,-659.787353515625
1731863757.210079,252000,-610.9276733398438
1731863761.0132167,256000,-549.8190307617188
1731863764.541883,260000,-488.2538757324219
1731863768.1138954,264000,-441.7573547363281
1731863771.6369884,268000,-394.4418640136719
1731863775.1306558,272000,-336.7629699707031
1731863778.7092578,276000,-310.2552490234375
1731863782.2982743,280000,-288.5177001953125
1731863785.7768183,284000,-248.65660095214844
1731863789.4593754,288000,-247.468017578125
1731863793.029919,292000,-243.31729125976562
1731863796.5524545,296000,-223.67465209960938
1731863800.0425198,300000,-204.0203094482422
1731863803.6167448,304000,-213.0467529296875
1731863807.1935165,308000,-190.10789489746094
1731863810.6604745,312000,-184.4500274658203
1731863814.1978433,316000,-192.7540283203125
1731863817.7283962,320000,-199.8458709716797
1731863821.4244988,324000,-188.66839599609375
1731863825.0359185,328000,-191.09906005859375
1731863828.6098232,332000,-183.41148376464844
1731863832.1121895,336000,-175.86538696289062
1731863835.6913273,340000,-168.77456665039062
1731863839.2101135,344000,-165.20155334472656
1731863842.7225037,348000,-173.15415954589844
1731863846.2991405,352000,-176.72994995117188
1731863850.02991,356000,-181.0503692626953
1731863853.5876124,360000,-175.1337890625
1731863857.169913,364000,-173.55738830566406
1731863860.6402748,368000,-171.15557861328125
1731863864.1127856,372000,-163.39671325683594
1731863867.633322,376000,-160.32839965820312
1731863871.1500437,380000,-156.71575927734375
1731863874.5993423,384000,-167.76925659179688
1731863878.2277763,388000,-170.4927978515625
1731863882.0874307,392000,-176.7362518310547
1731863885.7285678,396000,-176.87130737304688
1731863889.339818,400000,-184.6791229248047
1731863892.958662,404000,-171.7364959716797
1731863896.6871016,408000,-161.9232177734375
1731863900.2970598,412000,-160.80615234375
1731863903.9395587,416000,-156.1767120361328
1731863907.5176609,420000,-147.6138153076172
1731863911.2065992,424000,-147.28118896484375
1731863914.7015064,428000,-146.4483184814453
1731863918.2396734,432000,-140.7192840576172
1731863921.8498747,436000,-139.59559631347656
1731863925.466489,440000,-144.3406982421875
1731863929.1975367,444000,-147.62960815429688
1731863932.8413882,448000,-150.6553192138672
1731863936.3222463,452000,-151.89346313476562
1731863940.0548172,456000,-156.19146728515625
1731863943.5815616,460000,-148.8720703125
1731863947.112817,464000,-145.35748291015625
1731863950.7098248,468000,-139.08670043945312
1731863954.188134,472000,-133.4543914794922
1731863957.8206213,476000,-130.76805114746094
1731863961.5103388,480000,-139.81130981445312
1731863965.1501582,484000,-141.4836883544922
1731863968.635104,488000,-159.8271942138672
1731863972.524313,492000,-163.0059814453125
1731863976.184101,496000,-160.6627197265625
1731863979.7688708,500000,-160.74746704101562
