Wall time,Step,Value
1732049214.542336,4000,-1192.0233154296875
1732049219.268496,8000,-1185.179931640625
1732049223.9884863,12000,-1200.7919921875
1732049228.937866,16000,-1183.4827880859375
1732049233.6476884,20000,-1188.5499267578125
1732049239.0088449,24000,-1200.913330078125
1732049244.3724365,28000,-1210.1151123046875
1732049249.744476,32000,-1231.4298095703125
1732049255.1401272,36000,-1230.98583984375
1732049260.7704144,40000,-1245.5205078125
1732049266.1271763,44000,-1238.3482666015625
1732049271.5381842,48000,-1242.6103515625
1732049276.8704593,52000,-1203.047607421875
1732049282.2325656,56000,-1206.80615234375
1732049287.8255012,60000,-1197.2950439453125
1732049293.2481484,64000,-1195.7181396484375
1732049298.581451,68000,-1190.5457763671875
1732049303.9496026,72000,-1212.0284423828125
1732049309.2549715,76000,-1248.781494140625
1732049314.620421,80000,-1252.4281005859375
1732049320.3124406,84000,-1273.852783203125
1732049326.0128598,88000,-1276.551513671875
1732049331.5582697,92000,-1287.3956298828125
1732049337.176134,96000,-1266.918701171875
1732049342.631613,100000,-1273.407958984375
1732049348.433628,104000,-1265.5865478515625
1732049354.027084,108000,-1264.5067138671875
1732049359.6330101,112000,-1255.73828125
1732049365.2092006,116000,-1248.9766845703125
1732049370.77197,120000,-1254.9859619140625
1732049376.5381227,124000,-1233.036865234375
1732049382.13739,128000,-1224.823486328125
1732049387.6067889,132000,-1213.421875
1732049393.2639346,136000,-1190.52197265625
1732049398.5754294,140000,-1140.0501708984375
1732049403.9570978,144000,-1140.1143798828125
1732049409.4848957,148000,-1141.0224609375
1732049414.9263825,152000,-1120.062744140625
1732049420.2505906,156000,-1150.1268310546875
1732049425.7252831,160000,-1171.694580078125
1732049431.0379481,164000,-1163.7166748046875
1732049436.7113,168000,-1130.2227783203125
1732049441.9999473,172000,-1173.071533203125
1732049447.417029,176000,-1147.79296875
1732049452.6660323,180000,-1133.1827392578125
1732049458.1879401,184000,-1128.9527587890625
1732049463.6458378,188000,-1130.024658203125
1732049469.1935294,192000,-1080.5810546875
1732049474.4377594,196000,-1058.6400146484375
1732049479.5417278,200000,-1037.296630859375
1732049484.720087,204000,-1015.709716796875
1732049489.8818736,208000,-1013.2802124023438
1732049494.854512,212000,-977.1747436523438
1732049500.3018508,216000,-959.4945678710938
1732049505.5424516,220000,-948.0960083007812
1732049510.696277,224000,-925.5133056640625
1732049515.8407614,228000,-896.4417114257812
1732049520.9540749,232000,-888.3320922851562
1732049526.267123,236000,-874.9482421875
1732049531.4730725,240000,-846.5613403320312
1732049536.383874,244000,-823.040283203125
1732049541.2741783,248000,-787.125
1732049546.1010356,252000,-772.2601928710938
1732049550.9436183,256000,-740.8731689453125
1732049556.0716817,260000,-707.3153076171875
1732049560.9529164,264000,-674.8023681640625
1732049565.8920217,268000,-639.534912109375
1732049570.7247229,272000,-595.2802124023438
1732049575.5902498,276000,-549.0499877929688
1732049580.4726956,280000,-513.4447021484375
1732049585.4572978,284000,-465.1840515136719
1732049590.5962834,288000,-427.7007751464844
1732049595.5995357,292000,-379.62939453125
1732049600.6768036,296000,-330.0233459472656
1732049605.7197084,300000,-291.2911071777344
1732049610.7881327,304000,-262.79571533203125
1732049616.1235554,308000,-230.83668518066406
1732049621.2008882,312000,-209.9520721435547
1732049626.286967,316000,-217.5797576904297
1732049631.289566,320000,-207.6887664794922
1732049636.360446,324000,-198.3438262939453
1732049641.304066,328000,-201.62399291992188
1732049646.527466,332000,-195.48866271972656
1732049651.541847,336000,-181.96339416503906
1732049656.528698,340000,-177.77352905273438
1732049661.5434427,344000,-171.79580688476562
1732049666.5760553,348000,-176.6015625
1732049671.5519633,352000,-177.8937225341797
1732049676.8987072,356000,-185.421875
1732049682.0196028,360000,-183.70628356933594
1732049687.1327953,364000,-184.90609741210938
1732049692.2163842,368000,-178.12051391601562
1732049697.1667523,372000,-171.56381225585938
1732049702.365492,376000,-163.05955505371094
1732049707.4871273,380000,-158.42095947265625
1732049712.3666816,384000,-163.7574462890625
1732049717.251081,388000,-167.79896545410156
1732049722.1213,392000,-173.7240447998047
1732049726.9577508,396000,-177.5821075439453
1732049731.8278549,400000,-184.02198791503906
1732049737.1034873,404000,-175.4217071533203
1732049741.9873824,408000,-168.25709533691406
1732049746.9891622,412000,-165.40414428710938
1732049751.8832047,416000,-158.1429901123047
1732049756.742592,420000,-147.29714965820312
1732049762.01329,424000,-144.52456665039062
1732049767.4001713,428000,-143.47018432617188
1732049772.3984728,432000,-140.38685607910156
1732049777.5253367,436000,-139.1064453125
1732049782.538537,440000,-145.255615234375
1732049787.7713013,444000,-149.52725219726562
1732049793.063062,448000,-151.12965393066406
1732049798.3081493,452000,-150.3377685546875
1732049803.3696518,456000,-155.84066772460938
1732049808.450534,460000,-148.3690948486328
1732049813.8683152,464000,-150.45022583007812
1732049819.257181,468000,-144.96109008789062
1732049824.516045,472000,-147.9659423828125
1732049830.069858,476000,-149.30609130859375
1732049835.3183317,480000,-162.00962829589844
1732049840.5542822,484000,-160.82073974609375
1732049845.8525302,488000,-176.15818786621094
1732049850.8681195,492000,-174.69577026367188
1732049855.9155693,496000,-166.95921325683594
1732049860.8202848,500000,-164.90383911132812
