Wall time,Step,Value
1731864435.3155253,4000,-1179.6883544921875
1731864438.961864,8000,-1207.6234130859375
1731864442.5361898,12000,-1228.580810546875
1731864446.0363805,16000,-1224.9525146484375
1731864449.7154436,20000,-1251.1455078125
1731864453.2705626,24000,-1249.706298828125
1731864456.9366114,28000,-1241.091552734375
1731864460.574184,32000,-1229.957275390625
1731864464.3453708,36000,-1264.7882080078125
1731864468.0148687,40000,-1231.7813720703125
1731864471.5384486,44000,-1246.7965087890625
1731864475.0739188,48000,-1231.9425048828125
1731864478.7426608,52000,-1230.9237060546875
1731864482.5763967,56000,-1185.574951171875
1731864486.1483185,60000,-1192.5787353515625
1731864489.609916,64000,-1195.5794677734375
1731864493.1073275,68000,-1184.7264404296875
1731864496.6271472,72000,-1164.942138671875
1731864500.1804109,76000,-1189.4967041015625
1731864503.7036932,80000,-1189.33349609375
1731864507.2304716,84000,-1166.98974609375
1731864510.930075,88000,-1198.4066162109375
1731864514.4578576,92000,-1232.4234619140625
1731864517.9970276,96000,-1202.7843017578125
1731864521.5487242,100000,-1208.137939453125
1731864525.0796576,104000,-1230.223876953125
1731864528.6036642,108000,-1200.2725830078125
1731864532.1328318,112000,-1213.7462158203125
1731864535.6267614,116000,-1215.693603515625
1731864539.3332033,120000,-1207.6190185546875
1731864542.8811069,124000,-1194.99462890625
1731864546.3813806,128000,-1201.2236328125
1731864549.9777548,132000,-1150.9385986328125
1731864553.5612903,136000,-1149.9193115234375
1731864557.0649529,140000,-1120.8280029296875
1731864560.6015997,144000,-1100.699462890625
1731864564.1038752,148000,-1129.0355224609375
1731864567.6516082,152000,-1123.5950927734375
1731864571.407187,156000,-1104.35009765625
1731864574.9093225,160000,-1110.589599609375
1731864578.4184597,164000,-1093.2298583984375
1731864581.9846528,168000,-1055.7515869140625
1731864585.6741455,172000,-1052.30126953125
1731864589.2970762,176000,-1052.701416015625
1731864593.024535,180000,-1051.0535888671875
1731864596.6789129,184000,-1038.21630859375
1731864600.5371335,188000,-1015.605712890625
1731864604.3794594,192000,-997.7627563476562
1731864608.029519,196000,-979.416748046875
1731864611.784008,200000,-946.8463745117188
1731864615.3340142,204000,-936.7567749023438
1731864618.8372276,208000,-929.7074584960938
1731864622.4908435,212000,-920.4894409179688
1731864626.097505,216000,-885.9764404296875
1731864629.9296188,220000,-866.6729736328125
1731864633.6880422,224000,-850.7387084960938
1731864637.373642,228000,-819.844970703125
1731864641.0206614,232000,-784.0725708007812
1731864644.6454868,236000,-777.4769897460938
1731864648.3109756,240000,-752.0532836914062
1731864651.9839473,244000,-699.6390380859375
1731864655.4865878,248000,-645.6060180664062
1731864659.4393532,252000,-597.8945922851562
1731864663.1582584,256000,-549.1041259765625
1731864666.6910331,260000,-475.4045104980469
1731864670.25088,264000,-439.8753662109375
1731864673.7846007,268000,-398.0462341308594
1731864677.4343538,272000,-349.2948913574219
1731864681.1466146,276000,-307.135986328125
1731864684.7952108,280000,-274.3470458984375
1731864688.4476755,284000,-248.1036834716797
1731864692.3583858,288000,-241.43002319335938
1731864695.9431024,292000,-236.4781036376953
1731864699.5108738,296000,-235.63221740722656
1731864703.2089016,300000,-240.80747985839844
1731864706.8083544,304000,-228.44900512695312
1731864710.3816395,308000,-213.4657745361328
1731864714.0720875,312000,-207.76478576660156
1731864717.7138033,316000,-182.23367309570312
1731864721.558488,320000,-186.19662475585938
1731864725.2593625,324000,-190.29380798339844
1731864728.8737862,328000,-201.7952880859375
1731864732.489497,332000,-201.011474609375
1731864736.1644163,336000,-207.8511199951172
1731864739.7583454,340000,-203.65821838378906
1731864743.3591163,344000,-203.9061737060547
1731864747.0062363,348000,-196.0880126953125
1731864750.8693004,352000,-194.10220336914062
1731864754.451008,356000,-201.9656524658203
1731864758.1388478,360000,-191.7312774658203
1731864761.7005217,364000,-190.13502502441406
1731864765.2889297,368000,-182.8572998046875
1731864768.963011,372000,-182.69903564453125
1731864772.6105044,376000,-161.64683532714844
1731864776.195689,380000,-163.9255828857422
1731864780.178808,384000,-145.57691955566406
1731864783.827727,388000,-156.97361755371094
1731864787.4507177,392000,-164.21240234375
1731864791.1988335,396000,-174.5413055419922
1731864794.8381577,400000,-172.08714294433594
1731864798.5051005,404000,-185.37319946289062
1731864802.2544413,408000,-178.05592346191406
1731864805.8984458,412000,-171.45838928222656
1731864809.756237,416000,-159.06007385253906
1731864813.4780357,420000,-165.20947265625
1731864817.155784,424000,-165.52793884277344
1731864820.7536948,428000,-160.9065399169922
1731864824.4519572,432000,-152.90711975097656
1731864828.0951414,436000,-166.2009735107422
1731864831.7170653,440000,-174.92088317871094
1731864835.3902085,444000,-176.46621704101562
1731864839.1157722,448000,-180.96636962890625
1731864842.9374552,452000,-181.59341430664062
1731864846.7319682,456000,-171.64227294921875
1731864850.2836988,460000,-159.6068115234375
1731864853.9643266,464000,-159.31451416015625
1731864857.5811453,468000,-156.72044372558594
1731864861.0934513,472000,-156.79197692871094
1731864864.7209039,476000,-164.43702697753906
1731864868.457276,480000,-168.325439453125
1731864872.282724,484000,-163.61683654785156
1731864875.7738113,488000,-160.0718536376953
1731864879.313931,492000,-157.69007873535156
1731864882.8360262,496000,-154.59063720703125
1731864886.3445225,500000,-152.4307098388672
